"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PC00,,Available,,,,,,NORMAL
4,PC01,,Available,,,,,,NORMAL
5,PC02,,Available,,,,,,NORMAL
6,PC03,,Available,,,,,,NORMAL
7,PA02,,Available,,,,,,NORMAL
8,PA03,,Available,,,,,,NORMAL
9,PB04,GPIO_PB04,GPIO,Digital,Out,Low,,,NORMAL
10,PB05,,Available,,,,,,NORMAL
13,PB06,,Available,,,,,,NORMAL
14,PB07,,Available,,,,,,NORMAL
15,PB08,,Available,,,,,,NORMAL
16,PB09,,Available,,,,,,NORMAL
17,PA04,,Available,,,,,,NORMAL
18,PA05,,Available,,,,,,NORMAL
19,PA06,,Available,,,,,,NORMAL
20,PA07,,Available,,,,,,NORMAL
21,PC05,,Available,,,,,,NORMAL
22,PC06,,Available,,,,,,NORMAL
23,PC07,,Available,,,,,,NORMAL
26,PA08,,Available,,,,,,NORMAL
27,PA09,,Available,,,,,,NORMAL
28,PA10,,Available,,,,,,NORMAL
29,PA11,,Available,,,,,,NORMAL
30,PC08,,Available,,,,,,NORMAL
31,PC09,,Available,,,,,,NORMAL
32,PC10,,Available,,,,,,NORMAL
33,PC11,,Available,,,,,,NORMAL
34,PC12,,Available,,,,,,NORMAL
35,PC13,,Available,,,,,,NORMAL
40,PB12,,Available,,,,,,NORMAL
41,PB13,,Available,,,,,,NORMAL
42,PB14,,Available,,,,,,NORMAL
43,PB15,,Available,,,,,,NORMAL
44,PC14,,Available,,,,,,NORMAL
45,PC15,,Available,,,,,,NORMAL
46,PA12,,Available,,,,,,NORMAL
47,PA13,,Available,,,,,,NORMAL
48,PA14,,Available,,,,,,NORMAL
49,PA15,,Available,,,,,,NORMAL
52,PA16,,Available,,,,,,NORMAL
53,PA17,,Available,,,,,,NORMAL
54,PA18,,Available,,,,,,NORMAL
55,PA19,,Available,,,,,,NORMAL
56,PC16,,Available,,,,,,NORMAL
57,PC17,,Available,,,,,,NORMAL
58,PC18,,Available,,,,,,NORMAL
59,PC19,LED0,LED_AL,Digital,Out,High,,,NORMAL
60,PC20,SW0,SWITCH_AL,Digital,In,n/a,Yes,No,NORMAL
61,PC21,,Available,,,,,,NORMAL
64,PB16,,Available,,,,,,NORMAL
65,PB17,,Available,,,,,,NORMAL
66,PB18,,Available,,,,,,NORMAL
67,PB19,,Available,,,,,,NORMAL
68,PB20,,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
69,PB21,,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
70,PA20,,Available,,,,,,NORMAL
71,PA21,,Available,,,,,,NORMAL
72,PA22,,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
73,PA23,,SERCOM2_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
74,PA24,,Available,,,,,,NORMAL
75,PA25,,Available,,,,,,NORMAL
78,PB22,,Available,,,,,,NORMAL
79,PB23,,Available,,,,,,NORMAL
80,PB24,,Available,,,,,,NORMAL
81,PB25,,Available,,,,,,NORMAL
82,PC24,,Available,,,,,,NORMAL
83,PC25,,Available,,,,,,NORMAL
84,PC26,,Available,,,,,,NORMAL
85,PC27,LED1,LED_AL,Digital,Out,High,,,NORMAL
86,PC28,SW1,SWITCH_AL,Digital,In,n/a,Yes,No,NORMAL
93,PA30,,Available,,,,,,NORMAL
94,PA31,,Available,,,,,,NORMAL
95,PB30,,Available,,,,,,NORMAL
96,PB31,,Available,,,,,,NORMAL
97,PB00,,Available,,,,,,NORMAL
98,PB01,,Available,,,,,,NORMAL
99,PB02,,Available,,,,,,NORMAL
100,PB03,,Available,,,,,,NORMAL
